Source_Doc_Index,Target_Doc_Index,Target_Doc_Number,Citation_Text
189,219,미래청년기획단-920,"...신** 내부결재 **(경유)** **제목** 2024년 서울 청년수당 8월분 추가 지급  미래청년기획단-920(2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
99,36,미래청년기획단-566,"...되어 있습니다.  수신: 내부결재 (경유) 제목: 2025년 서울 청년수당 4월분 지급  미래청년기획단-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
99,91,청년사업담당관-4216,"...변경되었습니다.  협조자는 재무행정팀장 신선이와 재무과장 최선혜입니다.  시행 문서는 '청년사업담당관-4216'호이며, 2025년 4월 24일에 접수되었습니다. ( ) 안의 내용은 비어 있습니다...."
148,219,미래청년기획단-920,"...재 **(경유)**  **제목** 2024년 서울 청년수당 12월분 지급(2차 참여자)  미래청년기획단-920(2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
25,36,미래청년기획단-566,"...**제목**은 **2025년 서울 청년수당 9월분 지급(1차)**입니다.  **본문** 미래청년기획단-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
184,219,미래청년기획단-920,"...수신: 내부결재 (경유) 제목: 2024년 서울 청년수당 9월분 지급(2차 참여자)  미래청년기획단-920(2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
50,36,미래청년기획단-566,"...있지 않습니다. 문서의 제목은 ""2025년 서울 청년수당 7월분 지급(1차)""입니다.  미래청년기획단-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
201,219,미래청년기획단-920,"...내부결재  (경유)  **제목: 2024년 서울 청년수당 8월분 지급(2차 참여자)**  미래청년기획단-920 (2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
17,36,미래청년기획단-566,"...결재 경유: (비어있음)  **제목: 2025년 서울 청년수당 10월분 지급(2차)**  미래청년기획단-566호(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)와 관련하여, 2025년..."
212,219,미래청년기획단-920,"...**수신 내부결재** (경유)  **제목 2024년 서울 청년수당 7월분 추가 지급**  미래청년기획단-920 (2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
143,87,청년사업담당관-566,"...표가 있습니다. 이 표는 다음과 같은 정보를 담고 있습니다. 첫 번째 항목은 문서번호로, 청년사업담당관-566입니다. 두 번째 항목은 결재일자로, 2025년 1월 16일입니다. 세 번째 항목은 공개여..."
215,219,미래청년기획단-920,"...*(경유)** **제목** 2024년 서울 청년수당 7월분 지급(2차 참여자, 8.5)  미래청년기획단-920 (2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
200,219,미래청년기획단-920,"...재 **(경유)**  **제목: 2024년 서울 청년수당 8월분 지급(1차 참여자)**  미래청년기획단-920(2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
224,219,미래청년기획단-920,"...래청년기획단 **(경유)**  **제목:** 2024년 서울 청년수당 6월분 추가 지급  미래청년기획단-920호(2024년 서울 청년수당 사업 운영계획, 2024.1.19.)와 관련하여, 2024년..."
116,106,청년사업담당관-1743,...요청'입니다.  본문 내용은 다음과 같이 세 가지 항목으로 구성되어 있습니다.  1.  청년사업담당관-1743(2025. 2. 20.)호와 관련됩니다. 2.  우리 시는 청년정책 홍보를 위해 '202...
137,87,청년사업담당관-566,"...부분으로 구성되어 있습니다.  첫째, 이 문서는 2025년 서울 청년수당 사업 운영계획(청년사업담당관-566, 2025.1.16.)호와 관련하여 작성되었습니다.  둘째, 2025년 서울 청년수당 사..."
192,219,미래청년기획단-920,"...**(경유)** **제목** 2024년 서울 청년수당 8월분 추가 지급(1차 참여자)  미래청년기획단-920 (2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
115,87,청년사업담당관-566,...*  **제목 2025년 서울 청년수당 참여자 모집 관련 홍보물 제작비 지급**  1.  청년사업담당관-566(2025.1.16)호 관련입니다. 2.  2025년 서울 청년수당 참여자 모집 관련 홍보...
132,87,청년사업담당관-566,"...사업개요  #### 추진근거 *   2025년 서울 청년수당 사업 운영계획 (문서번호: 청년사업담당관-566, 2025년 1월 16일) *   콜센터 운영 용역 입찰공고 의뢰(긴급) (문서번호: 청..."
56,87,청년사업담당관-566,"...재  (경유) 청년사업담당관  ### 제목: 2025년 서울 청년수당 6월분 추가 지급  청년사업담당관-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
1,36,미래청년기획단-566,"...재 **(경유)**  **제목** **2025년 서울 청년수당 12월분 지급(2차)**  미래청년기획단-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
68,36,미래청년기획단-566,"...유 정보가 표기되어 있습니다.  제목은 '2025년 서울 청년수당 6월분 지급'입니다.  미래청년기획단-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
86,36,미래청년기획단-566,"...*수신** 내부결재 **(경유)**  **제목** 2025년 서울 청년수당 5월분 지급  미래청년기획단-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
160,159,청년사업담당관-4751,"...이름이 있으며, 11/14라는 날짜가 적혀 있습니다. 협조자는 없습니다.  **시행** 청년사업담당관-4751 (2024. 11. 14.) 접수 ( ) **우** 04520 (태평로1가) 서울특별시..."
122,121,청년사업담당관-1485,...'25 청년수당 서류검증단 및 전담 콜센터 운영 용역 제안서평가회 심사 수당 지급  1. 청년사업담당관-1485(2025.2.13.)호 관련입니다. 2. 「2025년 서울 청년수당 서류검증단 및 전담...
15,87,청년사업담당관-566,"...경유 절차는 없습니다. 제목은 **2025년 서울 청년수당 10월분 추가지급**입니다.  청년사업담당관-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
93,87,청년사업담당관-566,"...라고 기재되어 있습니다.  제목은 '2025년 서울 청년수당 4월분 추가 지급'입니다.  청년사업담당관-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
10,36,미래청년기획단-566,"...*   **제목**: **2025년 서울 청년수당 11월분 지급(2차)**  ## 본문  미래청년기획단-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
191,219,미래청년기획단-920,"...수당 8월분 추가 지급(1차 참여자)(수정)""입니다.  본문은 다음과 같이 시작합니다. ""미래청년기획단-920(2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
179,219,미래청년기획단-920,"...유 경로는 비어 있습니다. 제목은 ""2024년 서울 청년수당 9월분 추가 지급""입니다.  미래청년기획단-920(2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
39,87,청년사업담당관-566,"...목은 비어 있습니다. 문서의 제목은 '2025년 서울 청년수당 7월분 추가지급'입니다.  청년사업담당관-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
188,219,미래청년기획단-920,"...명시되어 있지 않습니다.  제목은 '2024년 서울 청년수당 7월분 추가 지급'입니다.  미래청년기획단-920(2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
228,219,미래청년기획단-920,"...홈페이지 seoul.go.kr  **제목** 2024년 서울 청년수당 6월분 추가 지급  미래청년기획단-920(2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
98,87,청년사업담당관-566,"...있습니다. 제목은 '2025년 서울 청년수당 4월분 추가 지급'입니다.  본문의 시작은 ""청년사업담당관-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
24,36,미래청년기획단-566,"...으며, 내부결재를 위한 경유 절차가 있습니다.  문서의 본문은 다음과 같이 시작합니다. ""미래청년기획단-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
35,36,미래청년기획단-566,"...차)'입니다.  문서 상단에는 수신 내부결재, 경유, 그리고 제목이 기재되어 있습니다.  미래청년기획단-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
170,219,미래청년기획단-920,"...어 있습니다.  제목은 '2024년 서울 청년수당 10월분 지급(2차 참여자)'입니다.  미래청년기획단-920(2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
183,219,미래청년기획단-920,"...청년기획단 (경유)  **제목: 2024년 서울 청년수당 9월분 지급(1차 참여자)**  미래청년기획단-920(2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
33,87,청년사업담당관-566,"...경유 정보는 비어 있습니다. 제목은 '2025년 서울 청년수당 7월분 추가지급'입니다.  청년사업담당관-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
176,219,미래청년기획단-920,"...경유를 거칩니다.  문서의 제목은 '2024년 서울 청년수당 9월분 추가 지급'입니다.  미래청년기획단-920 (2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
157,219,미래청년기획단-920,"...내부결재 (경유)  **제목: 2024년 서울 청년수당 11월분 지급(2차 참여자)**  미래청년기획단-920 (2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
49,36,미래청년기획단-566,"...* 내부결재 **(경유)**  **제목** 2025년 서울 청년수당 7월분 지급(2차)  미래청년기획단-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
223,219,미래청년기획단-920,"...다.  수신 내부결재 (경유)  **제목** 2024년 서울 청년수당 6월분 추가 지급  미래청년기획단-920(2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
139,134,청년사업담당관-556,"...단 및 전담 콜센터 운영 용역 지출 품의  1.  2025년 서울 청년수당 사업 운영계획(청년사업담당관-556, 2025.1.16.) 관련입니다. 2.  '2025 서울 청년수당 서류검증단 및 전담..."
117,106,청년사업담당관-1743,"...되어 있지 않습니다.  문서 하단에는 시행 관련 정보가 기재되어 있습니다. 시행 기관은 '청년사업담당관-1743'이며, 2025년 2월 20일에 접수되었습니다.  주소 정보는 '우 04520 서울특별시..."
152,219,미래청년기획단-920,"...어 있지 않습니다.  제목은 **2024년 서울 청년수당 11월분 추가 지급**입니다.  미래청년기획단-920(2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
198,219,미래청년기획단-920,"...결재 (경유)  #### 제목 2024년 서울 청년수당 8월분 추가 지급(2차 참여자)  미래청년기획단-920(2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
5,87,청년사업담당관-566,"...입니다.  *   2025년 1월, 청년수당 사업 운영계획이 수립되었습니다. (문서번호: 청년사업담당관-566) *   2025년 3월, 청년수당 참여자를 1차 모집했습니다. *   2025년 6월,..."
